"","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP"
"3332",93301,"Kern County","CA",6029,"H1"
"3333",93311,"Kern County","CA",6029,"H1"
"3334",93380,"Kern County","CA",6029,"H1"
"3335",93222,"Kern County","CA",6029,"H1"
"3336",93215,"Kern County","CA",6029,"H1"
"3337",93243,"Kern County","CA",6029,"H1"
"3338",93203,"Kern County","CA",6029,"H1"
"3339",93250,"Kern County","CA",6029,"H1"
"3340",93505,"Kern County","CA",6029,"H1"
"3341",93314,"Kern County","CA",6029,"H1"
"3342",93384,"Kern County","CA",6029,"H1"
"3343",93556,"Kern County","CA",6029,"H1"
"3344",93251,"Kern County","CA",6029,"H1"
"3345",93303,"Kern County","CA",6029,"H1"
"3346",93240,"Kern County","CA",6029,"H1"
"3347",93206,"Kern County","CA",6029,"H1"
"3348",93263,"Kern County","CA",6029,"H1"
"3349",93523,"Kern County","CA",6029,"H1"
"3350",93524,"Kern County","CA",6029,"H1"
"3351",93309,"Kern County","CA",6029,"H1"
"3352",93385,"Kern County","CA",6029,"H1"
"3353",93205,"Kern County","CA",6029,"H1"
"3354",93266,"Kings County","CA",6031,"H1"
"3355",93656,"Kings County","CA",6031,"H1"
"3356",93274,"Kings County","CA",6031,"H1"
"3357",93212,"Kings County","CA",6031,"H1"
"3358",93245,"Kings County","CA",6031,"H1"
"3359",93239,"Kings County","CA",6031,"H1"
"3360",93631,"Kings County","CA",6031,"H1"
"3361",93242,"Kings County","CA",6031,"H1"
"3362",93246,"Kings County","CA",6031,"H1"
"3363",93202,"Kings County","CA",6031,"H1"
"3364",93230,"Kings County","CA",6031,"H1"
"3365",93204,"Kings County","CA",6031,"H1"
"3366",93232,"Kings County","CA",6031,"H1"
"3367",95467,"Lake County","CA",6033,"H1"
"3368",95464,"Lake County","CA",6033,"H1"
"3369",95493,"Lake County","CA",6033,"H1"
"3370",95423,"Lake County","CA",6033,"H1"
"3371",95485,"Lake County","CA",6033,"H1"
"3372",95443,"Lake County","CA",6033,"H1"
"3373",95453,"Lake County","CA",6033,"H1"
"3374",95469,"Lake County","CA",6033,"H1"
"3375",95422,"Lake County","CA",6033,"H1"
"3376",95458,"Lake County","CA",6033,"H1"
"3377",95457,"Lake County","CA",6033,"H1"
"3378",95424,"Lake County","CA",6033,"H1"
"3379",95451,"Lake County","CA",6033,"H1"
"3380",95461,"Lake County","CA",6033,"H1"
"3381",95426,"Lake County","CA",6033,"H1"
"3382",95435,"Lake County","CA",6033,"H1"
"3383",96119,"Lassen County","CA",6035,"H1"
"3384",96130,"Lassen County","CA",6035,"H1"
"3385",96121,"Lassen County","CA",6035,"H1"
"3386",96136,"Lassen County","CA",6035,"H1"
"3387",96128,"Lassen County","CA",6035,"H1"
"3388",96056,"Lassen County","CA",6035,"H1"
"3389",96117,"Lassen County","CA",6035,"H1"
"3390",96109,"Lassen County","CA",6035,"H1"
"3391",96123,"Lassen County","CA",6035,"H1"
"3392",96127,"Lassen County","CA",6035,"H1"
"3393",96009,"Lassen County","CA",6035,"H1"
"3394",96113,"Lassen County","CA",6035,"H1"
"3395",96114,"Lassen County","CA",6035,"H1"
"3396",96132,"Lassen County","CA",6035,"H1"
"3397",96137,"Lassen County","CA",6035,"H1"
"3398",96068,"Lassen County","CA",6035,"H1"
"3399",90032,"Los Angeles County","CA",6037,"H1"
"3400",90035,"Los Angeles County","CA",6037,"H1"
"3401",90056,"Los Angeles County","CA",6037,"H1"
"3402",90402,"Los Angeles County","CA",6037,"H1"
"3403",90403,"Los Angeles County","CA",6037,"H1"
"3404",90405,"Los Angeles County","CA",6037,"H1"
"3405",90401,"Los Angeles County","CA",6037,"H1"
"3406",90274,"Los Angeles County","CA",6037,"H1"
"3407",90018,"Los Angeles County","CA",6037,"H1"
"3408",90026,"Los Angeles County","CA",6037,"H1"
"3409",90016,"Los Angeles County","CA",6037,"H1"
"3410",90021,"Los Angeles County","CA",6037,"H1"
"3411",90746,"Los Angeles County","CA",6037,"H1"
"3412",90733,"Los Angeles County","CA",6037,"H1"
"3413",90254,"Los Angeles County","CA",6037,"H1"
"3414",90210,"Los Angeles County","CA",6037,"H1"
"3415",90079,"Los Angeles County","CA",6037,"H1"
"3416",90212,"Los Angeles County","CA",6037,"H1"
"3417",90213,"Los Angeles County","CA",6037,"H1"
"3418",90255,"Los Angeles County","CA",6037,"H1"
"3419",90815,"Los Angeles County","CA",6037,"H1"
